orig,dest,trips
14211,13470,5.0
14211,13757,3.0
14211,13588,4.0
14211,14054,4.0
14211,15302,7.0
14211,15301,6.0
14211,13587,8.0
14211,17982,8.0
14211,14260,4.0
14211,14288,10.0
14211,15297,12.0
14211,18006,4.0
14211,15451,3.0
14211,16353,5.0
14211,13832,3.0
14211,15933,3.0
14211,13995,1.0
14211,13978,2.0
14211,14025,9.0
14211,18171,2.0
14211,13790,9.0
14211,18007,8.0
14211,18411,1.0
14211,14146,2.0
14211,14228,8.0
14211,14023,12.0
14211,13605,7.0
14211,15939,7.0
14211,13544,3.0
14211,16891,3.0
14211,15667,13.0
14211,13594,9.0
14211,17639,4.0
14211,14290,4.0
14211,13560,11.0
14211,13559,8.0
14211,13920,7.0
14211,13965,7.0
14211,13986,4.0
14211,13919,9.0
14211,13884,10.0
14211,18170,1.0
14211,15425,5.0
14211,13836,3.0
14211,13590,2.0
14211,13953,1.0
14211,13616,1.0
14211,15919,2.0
14211,15457,1.0
14211,13944,6.0
14211,13819,8.0
14211,13897,8.0
14211,13910,7.0
14211,13898,9.0
14211,13910,5.0
14211,16750,8.0
14211,13532,9.0
14211,13532,7.0
14211,17491,5.0
14211,17490,3.0
14211,13782,3.0
14211,16130,5.0
14211,16284,9.0
14211,13560,9.0
14211,14290,5.0
14211,17130,6.0
14211,13844,2.0
14211,16406,1.0
14211,18165,3.0
14211,16565,2.0
14211,14164,6.0
14211,13685,2.0
14211,16132,2.0
14211,13762,2.0
14211,14057,5.0
14211,13624,5.0
14211,13533,1.0
14211,13689,1.0
14211,13966,1.0
14211,16546,1.0
14211,17068,3.0
14211,13530,1.0
14211,13632,3.0
14211,13407,3.0
14211,13632,2.0
14211,17056,1.0
14211,17056,2.0
14211,17057,2.0
14211,13807,1.0
14211,15439,2.0
14211,14020,1.0
14211,14020,2.0
14211,15950,2.0
14211,17600,4.0
14211,17185,1.0
14211,13540,2.0
14211,13379,2.0
14211,14161,1.0
14211,17184,1.0
14211,13803,1.0
14211,14237,2.0
14211,13604,3.0
14211,13604,2.0
14211,16352,2.0
14211,13867,3.0
14211,15385,3.0
14211,13480,1.0
14211,13868,2.0
14211,13946,2.0
14211,15386,2.0
14211,13475,3.0
14211,13863,1.0
14211,13401,1.0
14211,16126,1.0
14211,18067,1.0
14211,3996,1.0
14211,17400,1.0
14211,14343,1.0
14211,16836,3.0
14211,16435,1.0
14211,17056,1.0
